Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,fertilizer_kg/ha,solar_radiation_MJ/m2-day
Albania,Maize,2011,59869,1485,1302.63,16.45,97.4340836,16.5
Albania,Potatoes,2011,242211,1485,1302.63,16.45,97.4340836,16.5
Albania,Soybeans,2011,18519,1485,1302.63,16.45,97.4340836,16.5
Albania,Wheat,2011,42301,1485,1302.63,16.45,97.4340836,16.5
Albania,Maize,2012,67290,1485,766.25,16.7,93.06089485,16.39
Albania,Potatoes,2012,250538,1485,766.25,16.7,93.06089485,16.39
Albania,Soybeans,2012,13333,1485,766.25,16.7,93.06089485,16.39
Albania,Wheat,2012,41096,1485,766.25,16.7,93.06089485,16.39
Albania,Maize,2013,69533,1485,982.32,17.41,88.1704748,15.56
Albania,Potatoes,2013,260110,1485,982.32,17.41,88.1704748,15.56
Albania,Soybeans,2013,10000,1485,982.32,17.41,88.1704748,15.56
Albania,Wheat,2013,41292,1485,982.32,17.41,88.1704748,15.56
Algeria,Maize,1990,16500,89,1828.92,17.48,17.93531987,20.8
Algeria,Potatoes,1990,78936,89,1828.92,17.48,17.93531987,20.8
Algeria,"Rice, paddy",1990,28000,89,1828.92,17.48,17.93531987,20.8
Algeria,Sorghum,1990,16571,89,1828.92,17.48,17.93531987,20.8
Algeria,Wheat,1990,6315,89,1828.92,17.48,17.93531987,20.8
Algeria,Maize,1991,19231,89,2461.8,16.26,12.60330579,21.34
Algeria,Potatoes,1991,90747,89,2461.8,16.26,12.60330579,21.34
Algeria,"Rice, paddy",1991,26786,89,2461.8,16.26,12.60330579,21.34
Algeria,Sorghum,1991,24231,89,2461.8,16.26,12.60330579,21.34
Algeria,Wheat,1991,10809,89,2461.8,16.26,12.60330579,21.34
Algeria,Maize,1992,22828,89,1215.47,16.27,12.80084634,21.52
Algeria,Potatoes,1992,107917,89,1215.47,16.27,12.80084634,21.52
Algeria,"Rice, paddy",1992,24733,89,1215.47,16.27,12.80084634,21.52
Algeria,Sorghum,1992,40000,89,1215.47,16.27,12.80084634,21.52
Algeria,Wheat,1992,9939,89,1215.47,16.27,12.80084634,21.52
Algeria,Maize,1993,12500,89,1021.89,17.0,17.37687508,21.35
Algeria,Potatoes,1993,111215,89,1021.89,17.0,17.37687508,21.35
Algeria,"Rice, paddy",1993,23111,89,1021.89,17.0,17.37687508,21.35
Algeria,Sorghum,1993,50000,89,1021.89,17.0,17.37687508,21.35
Algeria,Wheat,1993,8097,89,1021.89,17.0,17.37687508,21.35
Algeria,Maize,1994,4512,89,1255.02,17.88,15.95559716,21.89
Algeria,Potatoes,1994,95078,89,1255.02,17.88,15.95559716,21.89
Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88,15.95559716,21.89
Algeria,Wheat,1994,7999,89,1255.02,17.88,15.95559716,21.89
Algeria,Maize,1995,16115,89,2697.09,17.36,6.171033382,21.12
Algeria,Potatoes,1995,136768,89,2697.09,17.36,6.171033382,21.12
Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36,6.171033382,21.12
Algeria,Sorghum,1995,12667,89,2697.09,17.36,6.171033382,21.12
Algeria,Wheat,1995,8924,89,2697.09,17.36,6.171033382,21.12
Algeria,Maize,1996,17154,89,479.77,16.76,5.052519612,21.14
Algeria,Potatoes,1996,134629,89,479.77,16.76,5.052519612,21.14
Algeria,"Rice, paddy",1996,17861,89,479.77,16.76,5.052519612,21.14
Algeria,Sorghum,1996,14750,89,479.77,16.76,5.052519612,21.14
Algeria,Wheat,1996,13090,89,479.77,16.76,5.052519612,21.14
Algeria,Maize,1997,21417,89,401.22,17.84,12.67973856,21.81
Algeria,Potatoes,1997,141042,89,401.22,17.84,12.67973856,21.81
Algeria,"Rice, paddy",1997,15000,89,401.22,17.84,12.67973856,21.81
Algeria,Sorghum,1997,40000,89,401.22,17.84,12.67973856,21.81
Algeria,Wheat,1997,8016,89,401.22,17.84,12.67973856,21.81
Algeria,Maize,1998,17222,89,322.84,17.14,14.09737632,21.88
Algeria,Potatoes,1998,160256,89,322.84,17.14,14.09737632,21.88
Algeria,"Rice, paddy",1998,15000,89,322.84,17.14,14.09737632,21.88
Algeria,Sorghum,1998,24500,89,322.84,17.14,14.09737632,21.88
Algeria,Wheat,1998,8847,89,322.84,17.14,14.09737632,21.88
Algeria,Maize,1999,22375,89,654.45,17.97,12.12042226,21.73
Algeria,Potatoes,1999,153532,89,654.45,17.97,12.12042226,21.73
Algeria,"Rice, paddy",1999,13942,89,654.45,17.97,12.12042226,21.73
Algeria,Sorghum,1999,27000,89,654.45,17.97,12.12042226,21.73
Algeria,Wheat,1999,10711,89,654.45,17.97,12.12042226,21.73
Algeria,Maize,2000,36186,89,603.67,17.9,12.04646306,21.79
Algeria,Potatoes,2000,166143,89,603.67,17.9,12.04646306,21.79
Algeria,"Rice, paddy",2000,13052,89,603.67,17.9,12.04646306,21.79
Algeria,Sorghum,2000,69500,89,603.67,17.9,12.04646306,21.79
Algeria,Wheat,2000,9194,89,603.67,17.9,12.04646306,21.79
Algeria,Maize,2001,27175,89,710.11,18.13,13.88632467,22.0
Algeria,Potatoes,2001,147018,89,710.11,18.13,13.88632467,22.0
Algeria,"Rice, paddy",2001,12314,89,710.11,18.13,13.88632467,22.0
Algeria,Sorghum,2001,27750,89,710.11,18.13,13.88632467,22.0
Algeria,Wheat,2001,11104,89,710.11,18.13,13.88632467,22.0
Algeria,Maize,2002,33480,89,816.55,17.85,9.641579436,21.72
Algeria,Potatoes,2002,183774,89,816.55,17.85,9.641579436,21.72
Algeria,"Rice, paddy",2002,12959,89,816.55,17.85,9.641579436,21.72
Algeria,Sorghum,2002,33900,89,816.55,17.85,9.641579436,21.72
Algeria,Wheat,2002,10739,89,816.55,17.85,9.641579436,21.72
Algeria,Maize,2004,31729,89,3747.86,17.38,25.09515548,21.72
Algeria,Potatoes,2004,203585,89,3747.86,17.38,25.09515548,21.72
Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38,25.09515548,21.72
Algeria,Sorghum,2004,43316,89,3747.86,17.38,25.09515548,21.72
Algeria,Wheat,2004,13582,89,3747.86,17.38,25.09515548,21.72
Algeria,Maize,2005,33864,89,3662.87,17.19,7.429902809,21.63
Algeria,Potatoes,2005,216267,89,3662.87,17.19,7.429902809,21.63
Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19,7.429902809,21.63
Algeria,Sorghum,2005,33486,89,3662.87,17.19,7.429902809,21.63
Algeria,Wheat,2005,15057,89,3662.87,17.19,7.429902809,21.63
Algeria,Maize,2006,65668,89,4110.72,18.13,13.2626506,21.42
Algeria,Potatoes,2006,220689,89,4110.72,18.13,13.2626506,21.42
Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13,13.2626506,21.42
Algeria,Sorghum,2006,56728,89,4110.72,18.13,13.2626506,21.42
Algeria,Wheat,2006,15068,89,4110.72,18.13,13.2626506,21.42
Algeria,Maize,2007,85625,89,5390.79,17.42,14.96157451,22.07
Algeria,Potatoes,2007,189927,89,5390.79,17.42,14.96157451,22.07
Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42,14.96157451,22.07
Algeria,Sorghum,2007,119059,89,5390.79,17.42,14.96157451,22.07
Algeria,Wheat,2007,12742,89,5390.79,17.42,14.96157451,22.07
Algeria,Maize,2008,44714,89,11556.12,17.55,8.576712512,21.38
Algeria,Potatoes,2008,236393,89,11556.12,17.55,8.576712512,21.38
Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55,8.576712512,21.38
Algeria,Sorghum,2008,61786,89,11556.12,17.55,8.576712512,21.38
Algeria,Wheat,2008,11038,89,11556.12,17.55,8.576712512,21.38
Algeria,Maize,2009,30914,89,3867.99,17.78,14.27999466,21.48
Algeria,Potatoes,2009,250764,89,3867.99,17.78,14.27999466,21.48
Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78,14.27999466,21.48
Algeria,Sorghum,2009,90465,89,3867.99,17.78,14.27999466,21.48
Algeria,Wheat,2009,15975,89,3867.99,17.78,14.27999466,21.48
Algeria,Maize,2010,25827,89,1295.88,17.59,15.79578779,20.98
Algeria,Potatoes,2010,270526,89,1295.88,17.59,15.79578779,20.98
Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59,15.79578779,20.98
Algeria,Sorghum,2010,30286,89,1295.88,17.59,15.79578779,20.98
Algeria,Wheat,2010,14838,89,1295.88,17.59,15.79578779,20.98
Algeria,Maize,2011,23374,89,13861.76,17.79,15.76912823,21.61
Algeria,Potatoes,2011,292806,89,13861.76,17.79,15.76912823,21.61
Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79,15.76912823,21.61
Algeria,Sorghum,2011,100000,89,13861.76,17.79,15.76912823,21.61
Algeria,Wheat,2011,17405,89,13861.76,17.79,15.76912823,21.61
Algeria,Maize,2012,25583,89,17379.76,17.91,21.32818224,21.7
Algeria,Potatoes,2012,304291,89,17379.76,17.91,21.32818224,21.7
Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91,21.32818224,21.7
Algeria,Sorghum,2012,206000,89,17379.76,17.91,21.32818224,21.7
Algeria,Wheat,2012,17639,89,17379.76,17.91,21.32818224,21.7
Algeria,Maize,2013,33649,89,17278.65,17.65,22.45137536,22.02
Algeria,Potatoes,2013,303218,89,17278.65,17.65,22.45137536,22.02
Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65,22.45137536,22.02
Algeria,Sorghum,2013,60000,89,17278.65,17.65,22.45137536,22.02
Algeria,Wheat,2013,19100,89,17278.65,17.65,22.45137536,22.02
Angola,Cassava,1990,41177,1010,64.0,24.12,3.275862069,19.88
Angola,Maize,1990,2736,1010,64.0,24.12,3.275862069,19.88
Angola,Potatoes,1990,40000,1010,64.0,24.12,3.275862069,19.88
Angola,"Rice, paddy",1990,9512,1010,64.0,24.12,3.275862069,19.88
Angola,Sweet potatoes,1990,89342,1010,64.0,24.12,3.275862069,19.88
Angola,Wheat,1990,7995,1010,64.0,24.12,3.275862069,19.88
Angola,Cassava,1991,40295,1010,79.0,24.02,2.338983051,19.75
Angola,Maize,1991,4013,1010,79.0,24.02,2.338983051,19.75
Angola,Potatoes,1991,40000,1010,79.0,24.02,2.338983051,19.75
Angola,"Rice, paddy",1991,10000,1010,79.0,24.02,2.338983051,19.75
Angola,Sweet potatoes,1991,83001,1010,79.0,24.02,2.338983051,19.75
Angola,Wheat,1991,8000,1010,79.0,24.02,2.338983051,19.75
Angola,Cassava,1992,42295,1010,23.0,23.96,3.033333333,20.65
Angola,Maize,1992,3778,1010,23.0,23.96,3.033333333,20.65
Angola,Potatoes,1992,40000,1010,23.0,23.96,3.033333333,20.65
Angola,"Rice, paddy",1992,9106,1010,23.0,23.96,3.033333333,20.65
Angola,Sweet potatoes,1992,90000,1010,23.0,23.96,3.033333333,20.65
Angola,Wheat,1992,8000,1010,23.0,23.96,3.033333333,20.65
Angola,Cassava,1993,42295,1010,169.0,24.15,2.666666667,19.94
Angola,Maize,1993,2627,1010,169.0,24.15,2.666666667,19.94
Angola,Potatoes,1993,70000,1010,169.0,24.15,2.666666667,19.94
Angola,"Rice, paddy",1993,8000,1010,169.0,24.15,2.666666667,19.94
Angola,Sweet potatoes,1993,88095,1010,169.0,24.15,2.666666667,19.94
Angola,Wheat,1993,8876,1010,169.0,24.15,2.666666667,19.94
Angola,Cassava,1994,58596,1010,25.5,24.04,3.333333333,21.14
Angola,Maize,1994,2463,1010,25.5,24.04,3.333333333,21.14
Angola,Potatoes,1994,90000,1010,25.5,24.04,3.333333333,21.14
Angola,"Rice, paddy",1994,8750,1010,25.5,24.04,3.333333333,21.14
Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,3.333333333,21.14
Angola,Wheat,1994,10000,1010,25.5,24.04,3.333333333,21.14
Angola,Cassava,1995,51000,1010,336.0,24.56,2.666666667,20.49
Angola,Maize,1995,3517,1010,336.0,24.56,2.666666667,20.49
Angola,Potatoes,1995,76738,1010,336.0,24.56,2.666666667,20.49
Angola,"Rice, paddy",1995,14615,1010,336.0,24.56,2.666666667,20.49
Angola,Sweet potatoes,1995,81138,1010,336.0,24.56,2.666666667,20.49
Angola,Wheat,1995,11855,1010,336.0,24.56,2.666666667,20.49
Angola,Cassava,1996,48077,1010,40.0,24.11,2.0,20.04
Angola,Maize,1996,6993,1010,40.0,24.11,2.0,20.04
Angola,Potatoes,1996,70000,1010,40.0,24.11,2.0,20.04
Angola,"Rice, paddy",1996,17500,1010,40.0,24.11,2.0,20.04
Angola,Sweet potatoes,1996,85455,1010,40.0,24.11,2.0,20.04
Angola,Wheat,1996,13738,1010,40.0,24.11,2.0,20.04
Angola,Cassava,1997,44205,1010,40.0,24.06,0.666666667,20.29
Angola,Maize,1997,5959,1010,40.0,24.06,0.666666667,20.29
Angola,Potatoes,1997,68571,1010,40.0,24.06,0.666666667,20.29
Angola,"Rice, paddy",1997,20000,1010,40.0,24.06,0.666666667,20.29
Angola,Sweet potatoes,1997,78098,1010,40.0,24.06,0.666666667,20.29
Angola,Wheat,1997,15509,1010,40.0,24.06,0.666666667,20.29
Angola,Cassava,1998,55728,1010,40.0,24.96,1.133333333,20.19
Angola,Maize,1998,7396,1010,40.0,24.96,1.133333333,20.19
Angola,Potatoes,1998,62724,1010,40.0,24.96,1.133333333,20.19
Angola,"Rice, paddy",1998,20000,1010,40.0,24.96,1.133333333,20.19
Angola,Sweet potatoes,1998,76256,1010,40.0,24.96,1.133333333,20.19
Angola,Wheat,1998,17143,1010,40.0,24.96,1.133333333,20.19
Angola,Cassava,1999,59821,1010,40.0,24.37,1.133333333,20.15
Angola,Maize,1999,6361,1010,40.0,24.37,1.133333333,20.15
Angola,Potatoes,1999,54597,1010,40.0,24.37,1.133333333,20.15
Angola,"Rice, paddy",1999,14235,1010,40.0,24.37,1.133333333,20.15
Angola,Sweet potatoes,1999,82865,1010,40.0,24.37,1.133333333,20.15
Angola,Wheat,1999,17391,1010,40.0,24.37,1.133333333,20.15
Angola,Cassava,2000,82992,1010,40.0,24.41,0.466666667,20.11
Angola,Maize,2000,5745,1010,40.0,24.41,0.466666667,20.11
Angola,Potatoes,2000,29885,1010,40.0,24.41,0.466666667,20.11
Angola,"Rice, paddy",2000,13454,1010,40.0,24.41,0.466666667,20.11
Angola,Sorghum,2000,3333,1010,40.0,24.41,0.466666667,20.11
Angola,Soybeans,2000,2333,1010,40.0,24.41,0.466666667,20.11
Angola,Sweet potatoes,2000,34938,1010,40.0,24.41,0.466666667,20.11
Angola,Wheat,2000,17023,1010,40.0,24.41,0.466666667,20.11
Angola,Cassava,2001,94072,1010,40.0,24.43,0.0,19.79
Angola,Maize,2001,5754,1010,40.0,24.43,0.0,19.79
Angola,Potatoes,2001,42552,1010,40.0,24.43,0.0,19.79
Angola,"Rice, paddy",2001,13701,1010,40.0,24.43,0.0,19.79
Angola,Sorghum,2001,3571,1010,40.0,24.43,0.0,19.79
Angola,Soybeans,2001,2500,1010,40.0,24.43,0.0,19.79
Angola,Sweet potatoes,2001,44458,1010,40.0,24.43,0.0,19.79
Angola,Wheat,2001,16667,1010,40.0,24.43,0.0,19.79
Angola,Cassava,2002,110071,1010,40.0,24.79,1.659032258,20.02
Angola,Maize,2002,6706,1010,40.0,24.79,1.659032258,20.02
Angola,Potatoes,2002,42754,1010,40.0,24.79,1.659032258,20.02
Angola,"Rice, paddy",2002,13198,1010,40.0,24.79,1.659032258,20.02
Angola,Sorghum,2002,3400,1010,40.0,24.79,1.659032258,20.02
Angola,Soybeans,2002,2857,1010,40.0,24.79,1.659032258,20.02
Angola,Sweet potatoes,2002,42190,1010,40.0,24.79,1.659032258,20.02
Angola,Wheat,2002,15455,1010,40.0,24.79,1.659032258,20.02
Angola,Cassava,2004,125605,1010,40.0,24.22,4.501515152,20.2
Angola,Maize,2004,5404,1010,40.0,24.22,4.501515152,20.2
Angola,Potatoes,2004,20150,1010,40.0,24.22,4.501515152,20.2
Angola,"Rice, paddy",2004,11584,1010,40.0,24.22,4.501515152,20.2
Angola,Sorghum,2004,3333,1010,40.0,24.22,4.501515152,20.2
Angola,Soybeans,2004,3600,1010,40.0,24.22,4.501515152,20.2
Angola,Sweet potatoes,2004,45360,1010,40.0,24.22,4.501515152,20.2
Angola,Wheat,2004,12442,1010,40.0,24.22,4.501515152,20.2
Angola,Cassava,2005,117628,1010,40.0,24.41,2.260606061,20.14
Angola,Maize,2005,6736,1010,40.0,24.41,2.260606061,20.14
Angola,Potatoes,2005,23646,1010,40.0,24.41,2.260606061,20.14
Angola,"Rice, paddy",2005,6977,1010,40.0,24.41,2.260606061,20.14
Angola,Sorghum,2005,3333,1010,40.0,24.41,2.260606061,20.14
Angola,Soybeans,2005,3793,1010,40.0,24.41,2.260606061,20.14
Angola,Sweet potatoes,2005,46159,1010,40.0,24.41,2.260606061,20.14
Angola,Wheat,2005,10946,1010,40.0,24.41,2.260606061,20.14
Angola,Cassava,2006,117201,1010,40.0,24.14,3.66,19.52
Angola,Maize,2006,4687,1010,40.0,24.14,3.66,19.52
Angola,Potatoes,2006,52148,1010,40.0,24.14,3.66,19.52
Angola,"Rice, paddy",2006,4947,1010,40.0,24.14,3.66,19.52
Angola,Sorghum,2006,4091,1010,40.0,24.14,3.66,19.52
Angola,Soybeans,2006,4286,1010,40.0,24.14,3.66,19.52
Angola,Sweet potatoes,2006,44240,1010,40.0,24.14,3.66,19.52
Angola,Wheat,2006,10000,1010,40.0,24.14,3.66,19.52
Angola,Cassava,2007,115387,1010,40.0,24.24,3.305,20.19
Angola,Maize,2007,5091,1010,40.0,24.24,3.305,20.19
Angola,Potatoes,2007,62138,1010,40.0,24.24,3.305,20.19
Angola,"Rice, paddy",2007,5143,1010,40.0,24.24,3.305,20.19
Angola,Sorghum,2007,4031,1010,40.0,24.24,3.305,20.19
Angola,Soybeans,2007,6883,1010,40.0,24.24,3.305,20.19
Angola,Sweet potatoes,2007,58855,1010,40.0,24.24,3.305,20.19
Angola,Wheat,2007,10000,1010,40.0,24.24,3.305,20.19
Angola,Cassava,2008,148084,1010,40.0,24.27,8.258823529,20.13
Angola,Maize,2008,7946,1010,40.0,24.27,8.258823529,20.13
Angola,Potatoes,2008,85085,1010,40.0,24.27,8.258823529,20.13
Angola,"Rice, paddy",2008,5084,1010,40.0,24.27,8.258823529,20.13
Angola,Sorghum,2008,929,1010,40.0,24.27,8.258823529,20.13
Angola,Soybeans,2008,8575,1010,40.0,24.27,8.258823529,20.13
Angola,Sweet potatoes,2008,65437,1010,40.0,24.27,8.258823529,20.13
Angola,Wheat,2008,10000,1010,40.0,24.27,8.258823529,20.13
Angola,Cassava,2009,151759,1010,40.0,24.33,5.47225,19.99
Angola,Maize,2009,6614,1010,40.0,24.33,5.47225,19.99
Angola,Potatoes,2009,86509,1010,40.0,24.33,5.47225,19.99
Angola,"Rice, paddy",2009,6028,1010,40.0,24.33,5.47225,19.99
Angola,Sorghum,2009,2480,1010,40.0,24.33,5.47225,19.99
Angola,Soybeans,2009,4449,1010,40.0,24.33,5.47225,19.99
Angola,Sweet potatoes,2009,66475,1010,40.0,24.33,5.47225,19.99
Angola,Wheat,2009,10000,1010,40.0,24.33,5.47225,19.99
Angola,Cassava,2010,155782,1010,40.0,24.44,8.229285714,20.15
Angola,Maize,2010,7200,1010,40.0,24.44,8.229285714,20.15
Angola,Potatoes,2010,87425,1010,40.0,24.44,8.229285714,20.15
Angola,"Rice, paddy",2010,7403,1010,40.0,24.44,8.229285714,20.15
Angola,Sorghum,2010,2814,1010,40.0,24.44,8.229285714,20.15
Angola,Soybeans,2010,4446,1010,40.0,24.44,8.229285714,20.15
Angola,Sweet potatoes,2010,63001,1010,40.0,24.44,8.229285714,20.15
Angola,Wheat,2010,10526,1010,40.0,24.44,8.229285714,20.15
Angola,Cassava,2011,133649,1010,40.0,24.15,11.98382979,20.29
Angola,Maize,2011,7376,1010,40.0,24.15,11.98382979,20.29
Angola,Potatoes,2011,81366,1010,40.0,24.15,11.98382979,20.29
Angola,"Rice, paddy",2011,8914,1010,40.0,24.15,11.98382979,20.29
Angola,Sorghum,2011,3320,1010,40.0,24.15,11.98382979,20.29
Angola,Soybeans,2011,5294,1010,40.0,24.15,11.98382979,20.29
Angola,Sweet potatoes,2011,65512,1010,40.0,24.15,11.98382979,20.29
Angola,Wheat,2011,10959,1010,40.0,24.15,11.98382979,20.29
Angola,Cassava,2012,100073,1010,40.0,24.24,8.876170213,20.13
Angola,Maize,2012,7770,1010,40.0,24.24,8.876170213,20.13
Angola,Potatoes,2012,69381,1010,40.0,24.24,8.876170213,20.13
Angola,"Rice, paddy",2012,7703,1010,40.0,24.24,8.876170213,20.13
Angola,Sorghum,2012,998,1010,40.0,24.24,8.876170213,20.13
Angola,Soybeans,2012,1641,1010,40.0,24.24,8.876170213,20.13
Angola,Sweet potatoes,2012,52954,1010,40.0,24.24,8.876170213,20.13
Angola,Wheat,2012,11258,1010,40.0,24.24,8.876170213,20.13
Angola,Cassava,2013,140517,1010,40.0,24.55,9.369246646,20.31
Angola,Maize,2013,9467,1010,40.0,24.55,9.369246646,20.31
Angola,Potatoes,2013,63303,1010,40.0,24.55,9.369246646,20.31
Angola,"Rice, paddy",2013,12744,1010,40.0,24.55,9.369246646,20.31
